steps,reward,noise,uncertainty,oldReward,neg,pos,negReward,posReward,negNoise,posNoise,upCounter,topCounter,undetected
218.0,66.64941396471113,18.0,0.0,66.64941396471113,138.0,80.0,61.2692033816129,5.380210583098233,10.0,8.0,124.0,111.0,18.0
77.0,-27.630245382897556,13.0,0.0,-27.630245382897556,21.0,56.0,-1.800437738187611,-25.829807644709945,6.0,7.0,25.0,0.0,13.0
107.0,-42.451261729118414,13.0,0.0,-42.451261729118414,55.0,52.0,-15.238197803962976,-27.21306392515544,6.0,7.0,30.0,0.0,13.0
500.0,324.2579379582312,17.0,0.0,324.2579379582312,264.0,236.0,175.61713435221463,148.64080360601656,9.0,8.0,416.0,333.0,17.0
215.0,-38.95827218568979,19.0,0.0,-9.536075545474887,152.0,63.0,-8.321835112568124,-30.63643707312167,12.0,7.0,110.0,18.0,19.0
295.0,131.7886132709682,25.0,0.0,131.7886132709682,124.0,171.0,45.55653242394328,86.23208084702492,11.0,14.0,202.0,187.0,25.0
473.0,304.7678540982306,19.0,0.0,304.7678540982306,257.0,216.0,172.0172984264791,132.7505556717515,11.0,8.0,378.0,319.0,19.0
500.0,346.0411819923902,16.0,0.0,346.0411819923902,248.0,252.0,175.1933821706334,170.84779982175678,7.0,9.0,418.0,383.0,16.0
259.0,100.23036106866726,20.0,0.0,101.01441990956664,161.0,98.0,85.12512848717103,15.105232581496239,8.0,12.0,166.0,137.0,20.0
193.0,14.799671605229378,24.0,0.0,14.799671605229378,74.0,119.0,-5.7220394015312195,20.521711006760597,15.0,9.0,105.0,0.0,24.0
249.0,96.02630827039627,13.0,0.0,96.09566482459195,154.0,95.0,84.71525992452314,11.311048345873132,6.0,7.0,175.0,135.0,13.0
105.0,-43.8089688308537,15.0,0.0,-43.8089688308537,53.0,52.0,-17.85799150634557,-25.95097732450813,7.0,8.0,28.0,0.0,15.0
370.0,212.19759731319988,15.0,0.0,212.6967770224437,204.0,166.0,132.90058398292655,79.29701333027333,7.0,8.0,283.0,257.0,15.0
209.0,38.1099216615828,16.0,0.0,47.290464106947184,140.0,69.0,47.62604196817631,-9.516120306593507,9.0,7.0,130.0,64.0,16.0
71.0,-12.723269958980381,5.0,0.0,-12.723269958980381,15.0,56.0,6.652539610862732,-19.375809569843113,0.0,5.0,35.0,0.0,5.0
311.0,143.70582941862335,34.0,0.0,144.13675585761666,185.0,126.0,102.57995054498315,41.125878873640204,13.0,21.0,218.0,173.0,34.0
384.0,223.988751257057,26.0,0.0,224.17299113050103,224.0,160.0,147.52834296033194,76.46040829672506,9.0,17.0,295.0,270.0,26.0
500.0,333.64096907613566,15.0,0.0,333.64096907613566,274.0,226.0,189.30323245603358,144.33773662010208,7.0,8.0,417.0,352.0,15.0
496.0,313.769543335663,34.0,0.0,314.14319191873074,270.0,226.0,180.6840273141861,133.0855160214769,16.0,18.0,400.0,347.0,34.0
303.0,143.98605400417,17.0,0.0,143.98605400417,134.0,169.0,66.02918937429786,77.95686462987214,8.0,9.0,220.0,188.0,17.0
89.0,-57.6425680551211,32.0,0.0,-56.33349759876728,34.0,55.0,-21.607595160603523,-36.03497289451758,11.0,21.0,0.0,0.0,32.0
410.0,259.44585374440067,14.0,0.0,259.44585374440067,205.0,205.0,136.209698806284,123.23615493811667,7.0,7.0,335.0,296.0,14.0
448.0,195.14560913767247,34.0,0.0,212.47742980194744,271.0,177.0,103.09056808463657,92.0550410530359,20.0,14.0,329.0,242.0,34.0
205.0,31.024415172766794,25.0,0.0,31.087967987172306,88.0,117.0,9.777999915312876,21.24641525745392,12.0,13.0,107.0,56.0,25.0
218.0,18.279536291730267,15.0,0.0,43.17361735086888,148.0,70.0,37.84723301674819,-19.567696725017925,7.0,8.0,139.0,43.0,15.0
236.0,48.94332775541051,16.0,0.0,70.99780278140679,160.0,76.0,59.4174770989996,-10.47414934358909,7.0,9.0,156.0,61.0,16.0
407.0,252.90297516807914,18.0,0.0,252.90297516807914,220.0,187.0,147.65732154808939,105.24565361998975,8.0,10.0,312.0,297.0,18.0
211.0,2.649699389558691,16.0,0.0,34.85865780944005,150.0,61.0,27.95834894449723,-25.30864955493854,10.0,6.0,130.0,23.0,16.0
500.0,336.76046811044216,19.0,0.0,336.76046811044216,269.0,231.0,183.7050101608038,153.05545794963837,11.0,8.0,408.0,349.0,19.0
264.0,94.92583946697414,25.0,0.0,94.92583946697414,97.0,167.0,18.317133439704776,76.60870602726936,13.0,12.0,179.0,34.0,25.0
248.0,72.60387437539782,18.0,0.0,83.01167030259967,162.0,86.0,78.86020329479061,-6.256328919392786,10.0,8.0,151.0,117.0,18.0
242.0,64.50452006608248,33.0,0.0,64.50452006608248,97.0,145.0,20.898632667958736,43.60588739812374,16.0,17.0,152.0,66.0,33.0
280.0,115.88511089305393,27.0,0.0,115.88511089305393,119.0,161.0,41.194778703851625,74.69033218920231,14.0,13.0,186.0,166.0,27.0
305.0,151.41281524160877,16.0,0.0,151.41281524160877,164.0,141.0,90.38835469121113,61.024460550397635,9.0,7.0,226.0,192.0,16.0
240.0,17.943179751013247,19.0,0.0,53.70364917884581,161.0,79.0,29.014088869384807,-11.07090911837156,12.0,7.0,155.0,57.0,19.0
307.0,140.79931793175638,28.0,0.0,140.79931793175638,119.0,188.0,44.58436945639551,96.21494847536087,14.0,14.0,218.0,170.0,28.0
233.0,61.03346565083251,13.0,0.0,76.15080473199487,156.0,77.0,67.36336666171258,-6.329901010880064,6.0,7.0,158.0,121.0,13.0
429.0,269.5236435737461,20.0,0.0,269.5236435737461,204.0,225.0,124.94675797782838,144.5768855959177,10.0,10.0,335.0,321.0,20.0
352.0,197.48715621341853,33.0,0.0,197.5291543751955,184.0,168.0,105.79065836966038,91.69649784375815,17.0,16.0,262.0,243.0,33.0
379.0,104.52561922921956,19.0,0.0,157.60510947695002,139.0,240.0,48.3730929510923,56.152526278127254,11.0,8.0,264.0,143.0,19.0
500.0,333.41955366717093,23.0,0.0,333.79790871590376,278.0,222.0,195.92942771301978,137.49012595415115,11.0,12.0,408.0,349.0,23.0
107.0,-44.895300388100566,16.0,0.0,-44.745591787970625,53.0,54.0,-15.392449779316792,-29.502850608783774,7.0,9.0,22.0,0.0,16.0
267.0,116.342495669669,14.0,0.0,116.342495669669,157.0,110.0,85.81424354674527,30.528252122923732,7.0,7.0,193.0,153.0,14.0
500.0,319.8774619627398,18.0,0.0,320.13600622327067,284.0,216.0,189.09688699744908,130.78057496529073,8.0,10.0,405.0,315.0,18.0
240.0,86.6841058404363,18.0,0.0,86.82135668583214,150.0,90.0,76.43598023791623,10.248125602520076,8.0,10.0,146.0,133.0,18.0
78.0,-36.586448626359925,17.0,0.0,-36.586448626359925,29.0,49.0,-7.289771278155968,-29.296677348203957,8.0,9.0,10.0,0.0,17.0
