#{"t_start": 1615578131.9386325, "env_id": "CartPoleSwingUp-v0"}
r,l,t
-454.639017,500,1.519551
-279.912021,289,2.509669
-358.682717,399,10.819729
-456.697571,500,12.329921
-279.490853,348,20.529668
-252.720372,276,22.569577
-176.936955,213,23.179951
-287.790858,361,24.219817
-383.135776,401,29.489564
-385.832835,486,30.889587
-228.891308,284,36.719451
-170.103802,491,39.329744
-185.672281,380,40.379863
-283.143975,500,46.359341
-183.647599,283,47.140404
-169.755745,500,53.459879
-166.120895,260,54.219859
-110.493946,223,54.869623
-120.767097,160,55.33976
-124.279267,280,59.629972
-139.122128,195,60.179515
-177.595758,252,60.879438
-155.506175,173,61.369688
-128.63262,280,65.099821
-175.468921,193,66.780963
-83.268457,469,68.099473
-85.498612,278,68.859651
-135.01308,268,71.779761
-157.657998,244,72.479588
-144.89762,244,73.129771
-175.408249,286,75.979811
-100.126181,286,77.980106
-143.79893,170,78.435596
-119.111197,127,78.773447
-105.743802,117,79.099534
-106.15513,128,79.442661
-168.676914,218,81.669841
-108.647931,132,82.02967
-59.501648,129,82.379971
-97.676482,121,82.702107
-106.188389,121,83.029609
-81.042229,114,83.339911
-125.946989,156,83.759989
-148.584701,155,84.179885
-88.533329,162,86.24947
-124.486612,138,87.759434
-127.868347,186,88.288589
-97.35205,155,88.749873
-78.94169,237,89.399847
-69.806999,133,91.049737
-92.968956,123,91.489512
-116.468367,264,92.369453
-104.970314,119,92.69959
-93.932381,115,93.019514
-46.308175,86,93.270656
-69.348869,95,93.539618
-113.140965,123,93.879762
-88.850712,120,95.434498
-146.945314,195,95.969466
-26.61059,193,97.879525
-67.00611,107,98.179712
-95.432971,105,98.479661
-96.782321,108,98.829959
-65.806282,100,99.164545
-93.677278,112,99.559749
-54.160238,190,101.229566
-48.447753,89,101.489312
-109.598701,126,101.859616
-68.215637,94,102.139438
-68.411464,88,102.419484
-83.886693,103,102.729332
-97.911847,182,103.259476
-88.5804,105,103.559931
-64.221938,85,104.949373
-112.735094,122,105.309367
-94.928419,107,105.619638
-71.841428,113,106.039548
-87.343341,113,107.659628
-57.860928,132,108.049726
